10,12,14,17,21,26,31,38,46,56,68,82,99,120,146,177,214,260,315,382,metric,population
0.136,0.124,0.112,0.095,0.082,0.071,0.064,0.06,0.052,0.046,0.041,0.037,0.033,0.028,0.024,0.02,0.016,0.012,0.009,0.001,pcc,0.821
0.153,0.135,0.122,0.103,0.089,0.076,0.068,0.061,0.053,0.047,0.043,0.039,0.034,0.03,0.024,0.02,0.017,0.013,0.009,0.001,srcc,0.818
0.159,0.141,0.126,0.108,0.093,0.079,0.071,0.064,0.056,0.049,0.044,0.039,0.035,0.03,0.025,0.021,0.017,0.013,0.009,0.001,ktau,0.627
0.08,0.073,0.066,0.057,0.049,0.041,0.036,0.033,0.029,0.026,0.023,0.021,0.018,0.016,0.013,0.011,0.009,0.007,0.005,0.001,cci,0.897
0.089,0.081,0.074,0.066,0.057,0.05,0.044,0.041,0.036,0.032,0.028,0.025,0.023,0.019,0.016,0.014,0.011,0.009,0.006,0.001,wcci,0.764
