metric,10,12,14,17,21,26,31,38,46,56,68,82,99,120,146,177,214,260,315,382,population
pcc,0.957,0.948,0.942,0.938,0.929,0.918,0.912,0.907,0.896,0.887,0.881,0.875,0.87,0.864,0.859,0.851,0.847,0.841,0.836,0.824,0.821
srcc,0.952,0.942,0.937,0.927,0.916,0.909,0.901,0.895,0.887,0.88,0.874,0.869,0.865,0.859,0.854,0.848,0.843,0.837,0.831,0.82,0.818
ktau,0.854,0.837,0.818,0.794,0.768,0.752,0.739,0.728,0.714,0.703,0.697,0.688,0.682,0.674,0.668,0.66,0.655,0.647,0.642,0.629,0.627
cci,1.0,1.0,0.984,0.979,0.968,0.96,0.953,0.949,0.941,0.936,0.932,0.927,0.924,0.921,0.917,0.913,0.912,0.908,0.905,0.898,0.897
wcci,0.896,0.882,0.87,0.866,0.854,0.847,0.839,0.829,0.822,0.815,0.809,0.803,0.798,0.793,0.789,0.786,0.783,0.777,0.775,0.766,0.764
