metric,10,12,14,17,21,26,31,38,46,56,68,82,99,120,146,177,214,260,315,382,population
pcc,0.537,0.564,0.609,0.651,0.663,0.69,0.702,0.712,0.724,0.737,0.745,0.752,0.762,0.77,0.779,0.785,0.794,0.8,0.807,0.819,0.821
srcc,0.474,0.51,0.552,0.607,0.627,0.66,0.677,0.695,0.712,0.727,0.736,0.743,0.748,0.761,0.774,0.782,0.788,0.796,0.802,0.816,0.818
ktau,0.333,0.364,0.398,0.444,0.468,0.491,0.502,0.518,0.534,0.542,0.552,0.559,0.564,0.574,0.584,0.592,0.599,0.605,0.612,0.625,0.627
cci,0.743,0.761,0.776,0.795,0.81,0.826,0.834,0.84,0.846,0.852,0.856,0.86,0.864,0.871,0.875,0.878,0.882,0.885,0.889,0.896,0.897
wcci,0.605,0.624,0.634,0.653,0.671,0.682,0.69,0.697,0.705,0.71,0.716,0.72,0.724,0.731,0.736,0.741,0.746,0.75,0.754,0.763,0.764
