10,12,14,17,21,26,31,38,46,56,68,82,99,120,146,177,214,260,315,382,metric,population
0.806,0.808,0.811,0.816,0.817,0.817,0.819,0.818,0.819,0.819,0.819,0.819,0.819,0.82,0.821,0.82,0.821,0.821,0.821,0.821,pcc,0.821
0.766,0.772,0.78,0.79,0.796,0.8,0.805,0.806,0.808,0.809,0.81,0.811,0.812,0.814,0.815,0.815,0.816,0.817,0.817,0.818,srcc,0.818
0.624,0.623,0.624,0.628,0.628,0.628,0.629,0.628,0.627,0.626,0.626,0.626,0.625,0.626,0.626,0.626,0.626,0.626,0.627,0.627,ktau,0.627
0.894,0.894,0.894,0.896,0.897,0.897,0.898,0.897,0.897,0.896,0.896,0.896,0.896,0.896,0.897,0.896,0.896,0.897,0.897,0.897,cci,0.897
0.762,0.761,0.762,0.764,0.764,0.764,0.765,0.764,0.764,0.764,0.763,0.763,0.763,0.763,0.764,0.763,0.763,0.764,0.764,0.764,wcci,0.764
