metric,10,11,13,15,18,21,24,28,33,38,44,52,60,70,82,95,110,128,149,174,population
pcc,0.944,0.942,0.935,0.931,0.92,0.913,0.914,0.906,0.899,0.892,0.885,0.88,0.874,0.869,0.864,0.858,0.852,0.846,0.84,0.828,0.824
srcc,0.939,0.934,0.927,0.918,0.908,0.901,0.898,0.896,0.891,0.887,0.879,0.876,0.871,0.865,0.859,0.854,0.849,0.844,0.836,0.824,0.819
ktau,0.822,0.818,0.805,0.785,0.761,0.75,0.74,0.732,0.724,0.717,0.706,0.698,0.69,0.682,0.673,0.666,0.66,0.653,0.645,0.631,0.626
cci,1.0,1.0,0.983,0.984,0.974,0.969,0.967,0.96,0.955,0.953,0.949,0.944,0.941,0.938,0.933,0.93,0.925,0.922,0.918,0.911,0.908
wcci,0.896,0.887,0.879,0.868,0.86,0.854,0.85,0.844,0.838,0.834,0.83,0.825,0.821,0.818,0.813,0.808,0.803,0.799,0.794,0.785,0.783
