10,11,13,15,18,21,24,28,33,38,44,52,60,70,82,95,110,128,149,174,metric,population
0.125,0.119,0.104,0.093,0.083,0.076,0.068,0.061,0.054,0.048,0.043,0.038,0.033,0.03,0.026,0.022,0.019,0.015,0.01,0.002,pcc,0.824
0.159,0.147,0.131,0.117,0.102,0.091,0.081,0.073,0.063,0.057,0.051,0.044,0.038,0.034,0.029,0.025,0.021,0.017,0.011,0.003,srcc,0.819
0.157,0.145,0.13,0.117,0.103,0.092,0.081,0.074,0.064,0.058,0.052,0.045,0.039,0.035,0.03,0.026,0.022,0.017,0.012,0.003,ktau,0.626
0.08,0.074,0.066,0.059,0.051,0.046,0.04,0.037,0.032,0.029,0.026,0.023,0.02,0.018,0.015,0.013,0.011,0.009,0.006,0.001,cci,0.908
0.082,0.076,0.068,0.062,0.054,0.048,0.044,0.04,0.035,0.033,0.03,0.026,0.023,0.02,0.017,0.015,0.012,0.01,0.007,0.002,wcci,0.783
