metric,10,11,13,15,18,21,24,28,33,38,44,52,60,70,82,95,110,128,149,174,population
pcc,0.556,0.589,0.61,0.64,0.667,0.681,0.694,0.71,0.726,0.737,0.747,0.761,0.767,0.772,0.782,0.787,0.792,0.799,0.807,0.82,0.824
srcc,0.455,0.498,0.525,0.555,0.593,0.619,0.64,0.659,0.683,0.698,0.715,0.736,0.747,0.757,0.769,0.774,0.782,0.789,0.799,0.815,0.819
ktau,0.333,0.366,0.379,0.41,0.428,0.458,0.474,0.49,0.516,0.523,0.538,0.552,0.56,0.569,0.579,0.584,0.589,0.597,0.606,0.622,0.626
cci,0.757,0.767,0.778,0.803,0.815,0.829,0.834,0.842,0.85,0.856,0.865,0.871,0.875,0.88,0.884,0.887,0.89,0.895,0.899,0.907,0.908
wcci,0.639,0.647,0.654,0.677,0.686,0.698,0.708,0.715,0.723,0.726,0.73,0.741,0.746,0.752,0.754,0.759,0.762,0.766,0.772,0.781,0.783
