10,11,13,15,18,21,24,28,33,38,44,52,60,70,82,95,110,128,149,174,metric,population
0.809,0.811,0.814,0.816,0.817,0.818,0.821,0.821,0.822,0.823,0.823,0.823,0.823,0.823,0.824,0.824,0.823,0.824,0.823,0.824,pcc,0.824
0.76,0.766,0.775,0.78,0.785,0.79,0.794,0.799,0.803,0.807,0.809,0.811,0.813,0.814,0.815,0.816,0.816,0.817,0.818,0.819,srcc,0.819
0.617,0.618,0.621,0.621,0.619,0.62,0.622,0.623,0.625,0.626,0.626,0.627,0.626,0.627,0.627,0.626,0.626,0.626,0.626,0.626,ktau,0.626
0.905,0.906,0.907,0.906,0.905,0.907,0.908,0.908,0.908,0.908,0.908,0.908,0.909,0.909,0.909,0.908,0.908,0.908,0.908,0.908,cci,0.908
0.782,0.782,0.783,0.783,0.78,0.782,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.782,0.782,0.782,wcci,0.783
