10,11,13,16,19,22,26,30,36,42,50,58,69,81,95,112,131,155,182,214,metric,population
0.139,0.126,0.109,0.094,0.082,0.07,0.06,0.054,0.048,0.042,0.038,0.034,0.03,0.027,0.023,0.019,0.016,0.012,0.008,0.002,pcc,0.808
0.184,0.169,0.151,0.135,0.12,0.108,0.095,0.086,0.077,0.07,0.063,0.057,0.049,0.043,0.036,0.03,0.026,0.02,0.014,0.003,srcc,0.788
0.181,0.165,0.15,0.133,0.117,0.106,0.093,0.084,0.075,0.069,0.061,0.056,0.048,0.042,0.035,0.03,0.026,0.02,0.014,0.003,ktau,0.61
0.091,0.083,0.07,0.062,0.053,0.047,0.041,0.036,0.033,0.029,0.026,0.024,0.02,0.018,0.015,0.013,0.011,0.008,0.006,0.001,cci,0.927
0.092,0.084,0.074,0.066,0.057,0.051,0.045,0.04,0.037,0.033,0.03,0.027,0.024,0.021,0.018,0.015,0.013,0.01,0.007,0.001,wcci,0.774
