metric,10,11,13,16,19,22,26,30,36,42,50,58,69,81,95,112,131,155,182,214,population
pcc,0.939,0.929,0.92,0.909,0.903,0.893,0.888,0.885,0.876,0.871,0.862,0.86,0.854,0.847,0.842,0.836,0.833,0.827,0.821,0.812,0.808
srcc,0.948,0.945,0.93,0.926,0.912,0.902,0.896,0.89,0.885,0.878,0.864,0.865,0.851,0.846,0.839,0.832,0.826,0.819,0.81,0.794,0.788
ktau,0.854,0.844,0.821,0.802,0.772,0.761,0.747,0.736,0.722,0.715,0.696,0.694,0.681,0.673,0.664,0.656,0.65,0.642,0.632,0.615,0.61
cci,1.0,1.0,1.0,1.0,0.99,0.985,0.978,0.976,0.972,0.968,0.964,0.962,0.957,0.954,0.951,0.947,0.945,0.941,0.937,0.93,0.927
wcci,0.894,0.883,0.874,0.864,0.851,0.847,0.84,0.834,0.832,0.826,0.82,0.818,0.811,0.806,0.801,0.797,0.795,0.79,0.784,0.776,0.774
