metric,10,11,13,16,19,22,26,30,36,42,50,58,69,81,95,112,131,155,182,214,population
pcc,0.49,0.556,0.576,0.623,0.655,0.684,0.7,0.711,0.723,0.73,0.743,0.746,0.756,0.759,0.766,0.775,0.778,0.788,0.794,0.805,0.808
srcc,0.347,0.384,0.445,0.483,0.538,0.564,0.588,0.611,0.633,0.653,0.669,0.681,0.692,0.705,0.722,0.733,0.741,0.751,0.764,0.783,0.788
ktau,0.27,0.294,0.327,0.37,0.392,0.425,0.44,0.46,0.476,0.491,0.507,0.516,0.526,0.533,0.547,0.56,0.565,0.577,0.587,0.606,0.61
cci,0.727,0.758,0.778,0.797,0.824,0.838,0.847,0.861,0.867,0.876,0.877,0.885,0.89,0.894,0.9,0.906,0.908,0.914,0.918,0.926,0.927
wcci,0.594,0.612,0.629,0.65,0.668,0.682,0.696,0.705,0.71,0.716,0.722,0.727,0.734,0.738,0.743,0.749,0.752,0.759,0.762,0.771,0.774
