10,11,13,16,19,22,26,30,36,42,50,58,69,81,95,112,131,155,182,214,metric,population
0.792,0.795,0.797,0.799,0.802,0.804,0.804,0.806,0.807,0.807,0.806,0.807,0.807,0.807,0.808,0.808,0.808,0.808,0.809,0.808,pcc,0.808
0.734,0.74,0.746,0.756,0.761,0.762,0.766,0.769,0.773,0.774,0.775,0.777,0.78,0.781,0.783,0.784,0.786,0.787,0.787,0.788,srcc,0.788
0.603,0.605,0.604,0.607,0.607,0.606,0.606,0.607,0.607,0.606,0.606,0.606,0.607,0.608,0.609,0.609,0.61,0.61,0.61,0.61,ktau,0.61
0.919,0.92,0.921,0.922,0.923,0.924,0.924,0.925,0.925,0.925,0.925,0.925,0.926,0.926,0.927,0.927,0.927,0.927,0.927,0.927,cci,0.927
0.768,0.769,0.768,0.769,0.77,0.771,0.771,0.772,0.772,0.772,0.772,0.772,0.773,0.773,0.773,0.773,0.774,0.774,0.774,0.774,wcci,0.774
