10,11,13,15,18,21,24,28,33,39,45,52,61,71,83,97,112,131,152,178,metric,population
0.853,0.855,0.857,0.859,0.861,0.862,0.863,0.862,0.863,0.863,0.863,0.863,0.864,0.864,0.865,0.864,0.864,0.864,0.864,0.864,pcc,0.864
0.8,0.805,0.809,0.815,0.82,0.824,0.827,0.828,0.831,0.833,0.833,0.836,0.838,0.839,0.84,0.841,0.842,0.842,0.842,0.843,srcc,0.843
0.661,0.664,0.66,0.661,0.661,0.661,0.661,0.659,0.659,0.658,0.656,0.657,0.658,0.658,0.658,0.658,0.658,0.658,0.657,0.658,ktau,0.658
0.923,0.923,0.923,0.924,0.924,0.924,0.924,0.923,0.924,0.923,0.923,0.923,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,cci,0.924
,,,,,,,,,,,,,,,,,,,,wcci,0.924
