metric,10,11,13,15,18,21,24,28,33,39,45,52,61,71,83,97,112,131,152,178,population
pcc,0.969,0.966,0.962,0.958,0.95,0.946,0.942,0.936,0.928,0.92,0.918,0.915,0.91,0.904,0.901,0.895,0.891,0.885,0.878,0.869,0.864
srcc,0.952,0.955,0.941,0.936,0.932,0.927,0.922,0.915,0.909,0.902,0.898,0.894,0.89,0.887,0.88,0.874,0.871,0.867,0.86,0.848,0.843
ktau,0.867,0.855,0.846,0.829,0.804,0.79,0.783,0.762,0.753,0.744,0.735,0.729,0.721,0.716,0.705,0.697,0.693,0.686,0.677,0.663,0.658
cci,1.0,1.0,1.0,0.986,0.98,0.975,0.973,0.967,0.963,0.958,0.955,0.952,0.95,0.947,0.945,0.941,0.939,0.935,0.932,0.926,0.924
wcci,,,,,,,,,,,,,,,,,,,,,0.924
