metric,10,11,13,15,18,21,24,28,33,39,45,52,61,71,83,97,112,131,152,178,population
pcc,0.64,0.661,0.69,0.7,0.731,0.74,0.756,0.765,0.779,0.785,0.798,0.806,0.816,0.823,0.827,0.834,0.84,0.845,0.85,0.861,0.864
srcc,0.552,0.564,0.593,0.626,0.654,0.678,0.687,0.714,0.729,0.744,0.752,0.765,0.777,0.785,0.796,0.803,0.809,0.818,0.826,0.84,0.843
ktau,0.378,0.418,0.436,0.467,0.503,0.505,0.522,0.534,0.548,0.562,0.571,0.58,0.594,0.602,0.611,0.618,0.623,0.631,0.639,0.653,0.658
cci,0.8,0.815,0.823,0.841,0.853,0.86,0.862,0.87,0.877,0.883,0.887,0.891,0.897,0.901,0.904,0.908,0.91,0.913,0.916,0.923,0.924
wcci,,,,,,,,,,,,,,,,,,,,,0.924
