10,11,13,16,19,22,26,30,36,42,50,58,69,81,95,112,131,155,182,214,metric,population
0.735,0.734,0.74,0.745,0.746,0.748,0.75,0.747,0.748,0.748,0.747,0.744,0.743,0.744,0.746,0.745,0.746,0.746,0.746,0.746,pcc,0.746
0.672,0.674,0.684,0.692,0.694,0.698,0.704,0.704,0.705,0.707,0.708,0.708,0.708,0.71,0.712,0.713,0.714,0.714,0.714,0.714,srcc,0.715
0.555,0.554,0.556,0.559,0.557,0.557,0.56,0.559,0.558,0.559,0.558,0.557,0.556,0.557,0.558,0.558,0.558,0.558,0.558,0.558,ktau,0.558
0.875,0.874,0.875,0.878,0.876,0.877,0.877,0.876,0.875,0.875,0.874,0.874,0.873,0.873,0.874,0.874,0.874,0.874,0.874,0.873,cci,0.874
0.756,0.754,0.755,0.757,0.755,0.755,0.756,0.754,0.753,0.753,0.753,0.752,0.751,0.751,0.751,0.752,0.751,0.751,0.751,0.751,wcci,0.751
