metric,10,11,13,16,19,22,26,30,36,42,50,58,69,81,95,112,131,155,182,214,population
pcc,0.952,0.944,0.937,0.925,0.918,0.908,0.905,0.894,0.885,0.879,0.869,0.862,0.846,0.835,0.827,0.818,0.81,0.797,0.784,0.751,0.746
srcc,0.945,0.934,0.922,0.913,0.9,0.891,0.886,0.871,0.855,0.85,0.841,0.831,0.808,0.807,0.792,0.786,0.775,0.763,0.751,0.721,0.715
ktau,0.854,0.818,0.805,0.785,0.759,0.744,0.736,0.715,0.7,0.687,0.673,0.665,0.646,0.639,0.627,0.621,0.61,0.599,0.588,0.564,0.558
cci,1.0,1.0,1.0,0.987,0.981,0.976,0.97,0.964,0.955,0.949,0.943,0.937,0.931,0.925,0.919,0.914,0.908,0.902,0.893,0.877,0.874
wcci,0.92,0.907,0.896,0.886,0.874,0.867,0.857,0.848,0.836,0.832,0.822,0.818,0.808,0.803,0.796,0.792,0.784,0.778,0.77,0.755,0.751
