10,11,13,16,19,22,26,30,36,42,50,58,69,81,95,112,131,155,182,214,metric,population
0.223,0.215,0.187,0.161,0.147,0.132,0.123,0.116,0.105,0.097,0.089,0.08,0.07,0.061,0.052,0.045,0.038,0.03,0.021,0.004,pcc,0.746
0.229,0.22,0.194,0.166,0.152,0.136,0.126,0.117,0.105,0.098,0.088,0.08,0.069,0.061,0.051,0.044,0.038,0.03,0.021,0.004,srcc,0.715
0.209,0.198,0.174,0.148,0.135,0.122,0.112,0.104,0.091,0.085,0.076,0.069,0.058,0.052,0.044,0.038,0.032,0.025,0.017,0.004,ktau,0.558
0.128,0.123,0.108,0.091,0.084,0.075,0.069,0.064,0.057,0.053,0.048,0.043,0.038,0.033,0.028,0.024,0.021,0.016,0.011,0.002,cci,0.874
0.125,0.12,0.106,0.091,0.083,0.075,0.068,0.063,0.057,0.053,0.048,0.043,0.037,0.032,0.027,0.024,0.02,0.016,0.011,0.002,wcci,0.751
