metric,Bad,Excellent,population,Model DB
pcc,0.467,0.461,0.824,VISQOL_P23_EXP1
srcc,0.473,0.461,0.819,PESQ_P23_EXP3
ktau,0.346,0.328,0.626,PESQ_P23_EXP1
cci,0.787,0.828,0.908,VISQOL_P23_EXP3
wcci,0.711,0.77,0.783,VISQOL_TCD-VOIP
pcc,0.484,0.852,0.808,PESQ_TCD-VOIP
srcc,0.465,0.841,0.788,VISQOL_P23_EXP1
ktau,0.325,0.656,0.61,PESQ_P23_EXP3
cci,0.851,0.98,0.927,PESQ_P23_EXP1
wcci,0.744,0.85,0.774,VISQOL_P23_EXP3
pcc,0.701,0.556,0.838,VISQOL_TCD-VOIP
srcc,0.659,0.53,0.897,PESQ_TCD-VOIP
ktau,0.495,0.395,0.726,VISQOL_P23_EXP1
cci,0.904,0.854,0.958,PESQ_P23_EXP3
wcci,0.785,0.757,0.807,PESQ_P23_EXP1
pcc,0.322,0.323,0.746,VISQOL_P23_EXP3
srcc,0.267,0.541,0.715,VISQOL_TCD-VOIP
ktau,0.187,0.425,0.558,PESQ_TCD-VOIP
cci,0.787,0.796,0.874,VISQOL_P23_EXP1
wcci,0.724,0.728,0.751,PESQ_P23_EXP3
pcc,0.559,0.335,0.821,PESQ_P23_EXP1
srcc,0.594,0.353,0.818,VISQOL_P23_EXP3
ktau,0.415,0.246,0.627,VISQOL_TCD-VOIP
cci,0.862,0.707,0.897,PESQ_TCD-VOIP
wcci,0.711,0.652,0.764,VISQOL_P23_EXP1
pcc,0.609,0.442,0.896,PESQ_P23_EXP3
srcc,0.61,0.492,0.899,PESQ_P23_EXP1
ktau,0.459,0.349,0.719,VISQOL_P23_EXP3
cci,0.847,0.818,0.949,VISQOL_TCD-VOIP
wcci,0.77,0.754,0.828,PESQ_TCD-VOIP
