metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,population
cci,1.0,1.0,0.9945,0.9899999999999999,0.9833333333333334,0.9776666666666666,0.9728333333333333,0.9688333333333333,0.9634999999999999,0.96,0.9558333333333332,0.9523333333333334,0.9488333333333333,0.9455,0.9420000000000001,0.9385,0.9358333333333334,0.9321666666666667,0.9281666666666667,0.9208333333333334,0.9188333333333333
ktau,0.8656666666666667,0.8478333333333333,0.8323333333333333,0.8126666666666668,0.7878333333333334,0.775,0.7643333333333334,0.7523333333333334,0.7404999999999999,0.7321666666666666,0.7218333333333332,0.7148333333333333,0.7050000000000001,0.6980000000000001,0.6898333333333334,0.6838333333333333,0.6776666666666666,0.6703333333333333,0.6629999999999999,0.6483333333333333,0.6443333333333333
pcc,0.9523333333333333,0.9456666666666665,0.9385,0.9316666666666666,0.9238333333333334,0.9151666666666666,0.9113333333333333,0.9046666666666666,0.8975,0.8913333333333333,0.8846666666666666,0.8801666666666667,0.8733333333333334,0.867,0.862,0.856,0.8518333333333333,0.8453333333333334,0.8388333333333332,0.8255,0.8221666666666666
srcc,0.9525,0.9470000000000001,0.9390000000000001,0.9316666666666666,0.922,0.915,0.9103333333333333,0.9043333333333333,0.8971666666666667,0.8928333333333334,0.8856666666666667,0.8818333333333334,0.8733333333333334,0.8696666666666667,0.863,0.8584999999999999,0.8533333333333334,0.8471666666666667,0.8401666666666667,0.8264999999999999,0.8226666666666667
wcci,0.9035000000000001,0.8938333333333334,0.8833333333333333,0.8761666666666666,0.8656666666666667,0.8595,0.8530000000000001,0.8461666666666666,0.84,0.8356666666666666,0.8298333333333333,0.8263333333333334,0.8208333333333333,0.8166666666666668,0.8121666666666667,0.8086666666666668,0.8046666666666668,0.7999999999999999,0.7956666666666666,0.7868333333333334,0.7845
