metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,population
cci,0.7571666666666667,0.7745000000000001,0.7923333333333334,0.8145000000000001,0.8273333333333334,0.8410000000000001,0.8493333333333334,0.8566666666666666,0.864,0.8698333333333333,0.8744999999999999,0.8805000000000001,0.8850000000000001,0.89,0.8943333333333333,0.8983333333333333,0.9016666666666667,0.9058333333333333,0.9101666666666667,0.9176666666666667,0.9188333333333333
ktau,0.3466666666666667,0.37166666666666665,0.405,0.44216666666666665,0.46399999999999997,0.48533333333333334,0.5026666666666667,0.5191666666666667,0.5351666666666667,0.5466666666666667,0.5581666666666667,0.5676666666666667,0.5771666666666667,0.5851666666666667,0.5956666666666667,0.6036666666666667,0.609,0.6175,0.6261666666666666,0.641,0.6443333333333333
pcc,0.5573333333333333,0.5901666666666666,0.617,0.6518333333333334,0.6683333333333333,0.6913333333333332,0.7028333333333333,0.7120000000000001,0.7261666666666667,0.7376666666666667,0.7453333333333333,0.7528333333333334,0.7638333333333334,0.7703333333333333,0.7788333333333334,0.7848333333333333,0.7915000000000001,0.799,0.8065000000000001,0.8191666666666667,0.8221666666666666
srcc,0.4623333333333333,0.5023333333333334,0.5455,0.5845,0.6176666666666667,0.6426666666666666,0.6631666666666667,0.6811666666666666,0.6995,0.7141666666666667,0.7263333333333333,0.7381666666666667,0.749,0.7598333333333334,0.7718333333333334,0.7795,0.7863333333333333,0.7948333333333334,0.8039999999999999,0.8193333333333334,0.8226666666666667
wcci,0.6281666666666667,0.6446666666666666,0.6595,0.6776666666666666,0.6900000000000001,0.7021666666666667,0.7096666666666667,0.7176666666666667,0.7246666666666667,0.729,0.7341666666666667,0.7408333333333333,0.7463333333333333,0.7518333333333334,0.7558333333333334,0.761,0.7645,0.7693333333333333,0.774,0.7826666666666666,0.7845
