metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,population
cci,0.9165,0.9166666666666667,0.9173333333333333,0.9181666666666667,0.9181666666666667,0.9188333333333334,0.9191666666666666,0.9188333333333334,0.9186666666666667,0.9185,0.9183333333333332,0.9185,0.9185,0.9185,0.9189999999999999,0.9186666666666667,0.9186666666666667,0.9188333333333334,0.9188333333333334,0.9186666666666667,0.9188333333333334
ktau,0.6405000000000001,0.6405000000000001,0.6415,0.6433333333333333,0.643,0.6426666666666667,0.6438333333333334,0.6436666666666666,0.6436666666666666,0.6438333333333334,0.6438333333333334,0.6438333333333334,0.6433333333333333,0.6438333333333334,0.6443333333333333,0.6441666666666667,0.6443333333333333,0.6443333333333333,0.6445,0.6443333333333333,0.6443333333333333
pcc,0.8143333333333332,0.8155,0.8176666666666667,0.8200000000000001,0.821,0.8213333333333334,0.8223333333333332,0.8218333333333333,0.8223333333333332,0.8226666666666667,0.8221666666666667,0.8218333333333333,0.8215,0.8218333333333333,0.8225,0.822,0.8221666666666667,0.8221666666666667,0.8221666666666667,0.8221666666666667,0.8221666666666667
srcc,0.7723333333333333,0.7773333333333333,0.785,0.7923333333333333,0.7975,0.801,0.8049999999999999,0.8076666666666668,0.8105000000000001,0.8123333333333334,0.8138333333333333,0.8153333333333334,0.8166666666666667,0.818,0.8191666666666667,0.8200000000000001,0.8208333333333334,0.8215,0.8218333333333333,0.8225,0.8226666666666667
wcci,0.7839999999999999,0.7838333333333333,0.7841666666666667,0.785,0.7843333333333334,0.7848333333333333,0.7853333333333333,0.7848333333333333,0.7846666666666666,0.7846666666666666,0.7845000000000001,0.7845000000000001,0.7845000000000001,0.7845000000000001,0.7845000000000001,0.7845000000000001,0.7845000000000001,0.7845000000000001,0.7845000000000001,0.7843333333333334,0.7845000000000001
