metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,population
cci,0.07983333333333333,0.07333333333333333,0.0645,0.056,0.048999999999999995,0.043000000000000003,0.03833333333333334,0.034833333333333334,0.030833333333333334,0.027833333333333335,0.024833333333333332,0.022333333333333334,0.01933333333333333,0.017166666666666667,0.014333333333333332,0.012333333333333333,0.0105,0.008166666666666668,0.005666666666666667,0.001,0.9188333333333333
ktau,0.16016666666666665,0.14616666666666667,0.13,0.1135,0.09949999999999999,0.08866666666666667,0.07933333333333333,0.0715,0.06283333333333334,0.05683333333333334,0.050499999999999996,0.045000000000000005,0.03883333333333334,0.034166666666666665,0.028833333333333332,0.024833333333333332,0.021,0.016166666666666666,0.011166666666666667,0.0023333333333333335,0.6443333333333333
pcc,0.12866666666666668,0.11933333333333333,0.10466666666666667,0.09116666666666667,0.08083333333333333,0.072,0.065,0.059666666666666666,0.053,0.04783333333333333,0.043166666666666666,0.03866666666666667,0.034,0.029833333333333333,0.0255,0.021666666666666667,0.018166666666666668,0.013999999999999999,0.009666666666666667,0.002,0.8221666666666666
srcc,0.15583333333333335,0.1425,0.12633333333333333,0.10933333333333334,0.09616666666666666,0.08566666666666667,0.07666666666666667,0.06916666666666667,0.06116666666666667,0.05533333333333334,0.049499999999999995,0.04416666666666667,0.03833333333333334,0.03366666666666667,0.028166666666666663,0.02383333333333333,0.0205,0.015833333333333335,0.011000000000000001,0.0023333333333333335,0.8226666666666667
wcci,0.0845,0.078,0.06949999999999999,0.06183333333333333,0.0545,0.04833333333333333,0.043500000000000004,0.03966666666666666,0.0355,0.0325,0.029166666666666664,0.026,0.023000000000000003,0.019666666666666666,0.016999999999999998,0.014666666666666666,0.011999999999999999,0.009666666666666665,0.006666666666666667,0.0013333333333333333,0.7845
