10,11,13,15,18,21,24,28,33,38,44,52,60,70,82,95,110,128,149,174,metric,population
0.081,0.07,0.062,0.056,0.051,0.046,0.042,0.037,0.033,0.03,0.027,0.024,0.022,0.019,0.016,0.014,0.012,0.009,0.006,0.002,pcc,0.838
0.113,0.101,0.086,0.073,0.063,0.058,0.051,0.044,0.039,0.034,0.03,0.026,0.023,0.02,0.017,0.014,0.012,0.009,0.007,0.002,srcc,0.897
0.133,0.121,0.106,0.093,0.081,0.074,0.066,0.057,0.051,0.044,0.039,0.034,0.03,0.026,0.022,0.019,0.017,0.013,0.009,0.002,ktau,0.726
0.053,0.046,0.04,0.035,0.03,0.026,0.023,0.021,0.018,0.016,0.014,0.013,0.011,0.01,0.008,0.007,0.006,0.005,0.003,0.001,cci,0.958
0.061,0.055,0.048,0.044,0.039,0.034,0.031,0.028,0.025,0.023,0.021,0.019,0.017,0.014,0.013,0.011,0.009,0.007,0.005,0.001,wcci,0.807
