10,11,13,15,18,21,24,28,33,38,44,52,60,70,82,95,110,128,149,174,metric,population
0.849,0.85,0.849,0.848,0.846,0.845,0.844,0.843,0.842,0.843,0.842,0.842,0.841,0.841,0.84,0.839,0.839,0.838,0.838,0.838,pcc,0.838
0.846,0.85,0.858,0.864,0.87,0.874,0.877,0.881,0.885,0.887,0.889,0.891,0.892,0.893,0.894,0.895,0.895,0.896,0.897,0.897,srcc,0.897
0.719,0.72,0.722,0.723,0.723,0.724,0.725,0.725,0.726,0.727,0.727,0.727,0.726,0.726,0.726,0.726,0.726,0.726,0.726,0.726,ktau,0.726
0.954,0.955,0.956,0.957,0.957,0.958,0.958,0.958,0.958,0.958,0.958,0.959,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,cci,0.958
0.807,0.808,0.808,0.809,0.807,0.808,0.808,0.808,0.808,0.808,0.808,0.809,0.809,0.809,0.808,0.808,0.808,0.808,0.808,0.807,wcci,0.807
