metric,10,11,13,15,18,21,24,28,33,38,44,52,60,70,82,95,110,128,149,174,population
pcc,0.704,0.729,0.745,0.751,0.758,0.766,0.77,0.78,0.786,0.794,0.798,0.801,0.806,0.809,0.814,0.817,0.82,0.823,0.828,0.835,0.838
srcc,0.636,0.67,0.691,0.723,0.753,0.77,0.783,0.801,0.82,0.826,0.839,0.842,0.852,0.859,0.866,0.87,0.874,0.88,0.886,0.895,0.897
ktau,0.494,0.5,0.529,0.555,0.581,0.59,0.608,0.626,0.643,0.648,0.66,0.667,0.678,0.683,0.69,0.694,0.698,0.705,0.712,0.723,0.726
cci,0.85,0.861,0.872,0.895,0.902,0.91,0.914,0.921,0.925,0.93,0.933,0.937,0.94,0.943,0.944,0.946,0.948,0.95,0.953,0.957,0.958
wcci,0.699,0.71,0.725,0.735,0.742,0.751,0.756,0.762,0.767,0.77,0.774,0.779,0.781,0.785,0.789,0.791,0.793,0.796,0.8,0.806,0.807
