metric,10,12,14,17,21,26,31,38,46,56,68,82,99,120,146,177,214,260,315,382,population
pcc,0.769,0.783,0.795,0.808,0.826,0.832,0.839,0.841,0.848,0.855,0.86,0.865,0.87,0.873,0.876,0.879,0.883,0.886,0.889,0.895,0.896
srcc,0.673,0.701,0.732,0.755,0.783,0.802,0.814,0.826,0.833,0.843,0.853,0.86,0.865,0.871,0.875,0.88,0.883,0.888,0.891,0.898,0.899
ktau,0.494,0.523,0.552,0.574,0.606,0.614,0.633,0.642,0.649,0.659,0.669,0.675,0.68,0.686,0.691,0.696,0.699,0.705,0.71,0.718,0.719
cci,0.857,0.875,0.883,0.891,0.9,0.907,0.914,0.917,0.921,0.925,0.929,0.932,0.934,0.937,0.938,0.94,0.942,0.943,0.945,0.949,0.949
wcci,0.723,0.742,0.749,0.758,0.767,0.774,0.778,0.783,0.788,0.793,0.798,0.802,0.804,0.808,0.81,0.814,0.816,0.819,0.822,0.827,0.828
