10,12,14,17,21,26,31,38,46,56,68,82,99,120,146,177,214,260,315,382,metric,population
0.068,0.062,0.054,0.048,0.04,0.037,0.033,0.03,0.026,0.024,0.021,0.019,0.016,0.014,0.012,0.01,0.008,0.006,0.004,0.001,pcc,0.896
0.097,0.083,0.074,0.062,0.051,0.045,0.039,0.034,0.03,0.026,0.022,0.019,0.017,0.014,0.012,0.01,0.009,0.006,0.004,0.001,srcc,0.899
0.122,0.107,0.094,0.082,0.068,0.059,0.053,0.046,0.04,0.036,0.031,0.027,0.023,0.02,0.017,0.015,0.012,0.009,0.006,0.001,ktau,0.719
0.047,0.041,0.037,0.032,0.027,0.023,0.021,0.018,0.016,0.014,0.012,0.01,0.009,0.008,0.007,0.006,0.005,0.004,0.003,0.0,cci,0.949
0.058,0.052,0.047,0.042,0.037,0.032,0.029,0.026,0.023,0.021,0.018,0.016,0.014,0.012,0.011,0.009,0.007,0.006,0.004,0.001,wcci,0.828
