metric,10,12,14,17,21,26,31,38,46,56,68,82,99,120,146,177,214,260,315,382,population
pcc,0.972,0.968,0.963,0.959,0.954,0.947,0.943,0.938,0.935,0.93,0.927,0.925,0.921,0.918,0.914,0.912,0.91,0.907,0.904,0.897,0.896
srcc,0.964,0.961,0.956,0.95,0.946,0.939,0.938,0.935,0.928,0.928,0.925,0.923,0.92,0.918,0.915,0.914,0.912,0.909,0.905,0.9,0.899
ktau,0.899,0.879,0.862,0.849,0.826,0.809,0.801,0.792,0.779,0.775,0.769,0.764,0.756,0.751,0.746,0.744,0.739,0.735,0.73,0.721,0.719
cci,1.0,1.0,1.0,0.99,0.987,0.983,0.979,0.977,0.973,0.971,0.968,0.966,0.964,0.962,0.96,0.958,0.957,0.955,0.953,0.95,0.949
wcci,0.914,0.912,0.899,0.895,0.888,0.879,0.874,0.869,0.864,0.862,0.858,0.855,0.851,0.849,0.845,0.843,0.84,0.837,0.835,0.829,0.828
